name	gene_id	biotype	cluster	chr	start	end
ARHGAP22 (1 of many)	ENSDARG00000076434	protein_coding	Cluster003	12	2412104	2457737
ARHGAP28	ENSDARG00000101350	protein_coding	Cluster017	24	41886221	41913521
ARHGAP44 (1 of many)	ENSDARG00000102424	protein_coding	Cluster001	3	44485323	44637647
ARHGEF25 (1 of many)	ENSDARG00000100606	protein_coding	Cluster015	23	27985254	28088628
ARID5B	ENSDARG00000037196	protein_coding	Cluster003	12	8134180	8347970
ARSJ	ENSDARG00000077590	protein_coding	Cluster007	7	57374730	57388691
ATG14	ENSDARG00000002670	protein_coding	Cluster002	17	10592332	10610643
ATP11B	ENSDARG00000101094	protein_coding	Cluster002	22	37006588	37064215
ATXN1L	ENSDARG00000086977	protein_coding	Cluster011	7	69177873	69192104
B4GALNT2 (1 of many)	ENSDARG00000076361	protein_coding	Cluster001	25	5176782	5199547
BAALC (1 of many):ENSDARG00000089549	ENSDARG00000089549	protein_coding	Cluster015	20	19680252	19690795
BCL6B	ENSDARG00000069335	protein_coding	Cluster007	7	19765239	19776199
BEGAIN	ENSDARG00000043673	protein_coding	Cluster001	20	9367910	9433524
BICD1 (1 of many)	ENSDARG00000098551	protein_coding	Cluster001	4	1544820	1564628
BICD2 (1 of many)	ENSDARG00000098215	protein_coding	Cluster019	8	52965539	53002401
BMT2	ENSDARG00000062181	protein_coding	Cluster016	25	21673414	21684887
BNC1	ENSDARG00000100757	protein_coding	Cluster045	KN150342.1	51991	60094
BRINP3 (1 of many)	ENSDARG00000075352	protein_coding	Cluster001	2	6822833	6893499
BRSK1 (1 of many):ENSDARG00000077124	ENSDARG00000077124	protein_coding	Cluster001	12	4610146	4637696
BRSK1 (1 of many):ENSDARG00000077545	ENSDARG00000077545	protein_coding	Cluster003	3	32162061	32189027
BRSK2 (1 of many):ENSDARG00000077791	ENSDARG00000077791	protein_coding	Cluster003	7	49051940	49322247
BUD13	ENSDARG00000006666	protein_coding	Cluster004	21	22660454	22668742
BX000477.1	ENSDARG00000103894	protein_coding	Cluster004	4	41989897	41997563
BX004873.2	ENSDARG00000094413	protein_coding	Cluster004	4	64343225	64348807
BX005395.1	ENSDARG00000069027	protein_coding	Cluster001	18	16809788	16811967
BX005448.1	ENSDARG00000098111	protein_coding	Cluster004	KN149682.1	48874	53897
BX072532.1	ENSDARG00000092704	protein_coding	Cluster222	12	46424455	46435541
BX248128.1	ENSDARG00000098501	protein_coding	Cluster022	4	60483415	60484212
BX321873.1	ENSDARG00000098447	protein_coding	Cluster004	4	36350259	36465216
BX322657.1	ENSDARG00000103605	protein_coding	Cluster046	22	1394855	1398780
BX323023.2	ENSDARG00000104750	protein_coding	Cluster004	4	29817305	29862193
BX323087.1	ENSDARG00000075779	protein_coding	Cluster001	23	6397917	6442296
BX323854.2	ENSDARG00000030778	protein_coding	Cluster005	24	40102848	40104407
BX324003.1	ENSDARG00000090220	protein_coding	Cluster022	4	32764185	32865433
BX324155.1	ENSDARG00000104638	protein_coding	Cluster037	4	46447572	46456087
BX324179.1	ENSDARG00000101418	protein_coding	Cluster037	4	34103310	34166767
BX324179.2	ENSDARG00000102596	protein_coding	Cluster004	4	34134654	34146521
BX324179.3	ENSDARG00000103008	protein_coding	Cluster004	4	34172073	34179372
BX324215.1	ENSDARG00000040921	protein_coding	Cluster005	22	30679219	30687218
BX324215.3	ENSDARG00000078349	protein_coding	Cluster005	22	30709100	30713494
BX324216.1	ENSDARG00000086839	protein_coding	Cluster004	22	9998189	10005581
BX469910.2	ENSDARG00000102016	protein_coding	Cluster004	4	56988719	56994019
BX470115.1	ENSDARG00000090452	protein_coding	Cluster022	4	47146892	47148050
BX470189.1	ENSDARG00000067658	protein_coding	Cluster120	5	47324247	47325850
BX510909.1	ENSDARG00000098877	protein_coding	Cluster004	KN149695.1	52920	60511
BX510909.3	ENSDARG00000104294	protein_coding	Cluster004	KN149695.1	99691	111469
BX510934.1	ENSDARG00000087544	protein_coding	Cluster004	4	55439551	55441277
BX511215.1	ENSDARG00000098062	protein_coding	Cluster037	4	65419237	65546219
BX537137.2	ENSDARG00000102545	protein_coding	Cluster004	4	36423137	36428737
BX537350.1	ENSDARG00000073789	protein_coding	Cluster017	22	31074039	31083852
BX548000.1	ENSDARG00000079546	protein_coding	Cluster002	11	29295038	29304002
BX548047.2	ENSDARG00000094120	protein_coding	Cluster005	2	48126682	48129830
BX548067.1	ENSDARG00000098986	protein_coding	Cluster004	4	38939438	38949041
BX569789.3	ENSDARG00000099678	protein_coding	Cluster004	3	24544481	24550856
BX571664.1	ENSDARG00000093220	protein_coding	Cluster037	4	40439384	40454597
BX571811.1	ENSDARG00000095082	protein_coding	Cluster001	7	32880482	32904971
BX572103.3	ENSDARG00000102311	protein_coding	Cluster004	4	65078832	65090234
BX640406.1	ENSDARG00000076565	protein_coding	Cluster001	13	15044972	15046726
BX640461.2	ENSDARG00000099193	protein_coding	Cluster004	4	52586627	52602725
BX640547.1	ENSDARG00000100076	protein_coding	Cluster004	4	50924288	50933098
BX640584.1	ENSDARG00000092436	protein_coding	Cluster004	4	50480544	50486215
BX640584.3	ENSDARG00000100838	protein_coding	Cluster004	4	50706867	50713134
BX649453.1	ENSDARG00000098872	protein_coding	Cluster037	4	36238097	36238477
BX649453.3	ENSDARG00000104407	protein_coding	Cluster004	4	36164175	36180953
BX649620.1	ENSDARG00000103741	protein_coding	Cluster004	4	31108576	31118245
BX664622.2	ENSDARG00000098302	protein_coding	Cluster022	KN149689.1	35308	42104
BX842701.1	ENSDARG00000068460	protein_coding	Cluster006	7	39192029	39216728
BX855614.3	ENSDARG00000102154	protein_coding	Cluster004	4	72116419	72132500
BX908782.1	ENSDARG00000098957	protein_coding	Cluster001	2	52197360	52202121
BX908782.2	ENSDARG00000100184	protein_coding	Cluster005	2	52180833	52189501
BX927193.1	ENSDARG00000100673	protein_coding	Cluster037	4	44999378	45003832
BX957297.1	ENSDARG00000090615	protein_coding	Cluster001	7	38424470	38427354
BX957322.1	ENSDARG00000089562	protein_coding	Cluster001	10	21565262	21575024
C1QTNF4 (1 of many)	ENSDARG00000087659	protein_coding	Cluster001	18	15801949	15803042
C2	ENSDARG00000019772	protein_coding	Cluster001	15	517688	535747
CAAP1	ENSDARG00000079652	protein_coding	Cluster212	7	73615539	73620533
CABZ01000634.1	ENSDARG00000092634	protein_coding	Cluster150	KN150173.1	20896	27839
CABZ01001464.1	ENSDARG00000101149	protein_coding	Cluster004	4	30662757	30668776
CABZ01002345.1	ENSDARG00000102897	protein_coding	Cluster004	4	70443121	70457107
CABZ01003344.2	ENSDARG00000102600	protein_coding	Cluster022	KN149847.1	66755	67936
CABZ01009880.1	ENSDARG00000099955	protein_coding	Cluster011	3	12089188	12107222
CABZ01019474.1	ENSDARG00000100023	protein_coding	Cluster004	KN150080.1	8916	21154
CABZ01020207.1	ENSDARG00000086724	protein_coding	Cluster003	6	47485066	47507826
CABZ01021450.2	ENSDARG00000100390	protein_coding	Cluster009	4	71354577	71367468
CABZ01021450.3	ENSDARG00000102749	protein_coding	Cluster004	4	71289786	71390457
CABZ01021453.1	ENSDARG00000102090	protein_coding	Cluster004	4	71273520	71279036
CABZ01021454.1	ENSDARG00000101974	protein_coding	Cluster004	4	71239374	71251160
CABZ01024856.2	ENSDARG00000104013	protein_coding	Cluster022	KN149992.1	51454	56497
CABZ01029822.1	ENSDARG00000086931	protein_coding	Cluster001	19	6937664	6954182
CABZ01030107.1	ENSDARG00000058631	protein_coding	Cluster001	12	4498909	4505552
CABZ01033178.1	ENSDARG00000103512	protein_coding	Cluster004	KN150071.1	341	6598
CABZ01033180.1	ENSDARG00000102665	protein_coding	Cluster034	KN150072.1	2152	12984
CABZ01033205.2	ENSDARG00000090943	protein_coding	Cluster001	15	179112	187572
CABZ01033540.1	ENSDARG00000101451	protein_coding	Cluster004	4	68454152	68461979
CABZ01034698.4	ENSDARG00000099511	protein_coding	Cluster002	22	7941680	8063981
CABZ01038517.1	ENSDARG00000031618	protein_coding	Cluster003	3	58450693	58488954
CABZ01038709.1	ENSDARG00000101026	protein_coding	Cluster023	KN150709.1	28322	30415
CABZ01038979.1	ENSDARG00000100502	protein_coding	Cluster037	KN150372.1	16021	21360
CABZ01041812.1	ENSDARG00000061481	protein_coding	Cluster001	24	29770121	29789185
CABZ01041962.1	ENSDARG00000076082	protein_coding	Cluster004	5	6393351	6397953
CABZ01044297.1	ENSDARG00000074745	protein_coding	Cluster007	13	1596016	1650722
CABZ01046954.1	ENSDARG00000103162	protein_coding	Cluster142	25	32784669	32790239
CABZ01048399.1	ENSDARG00000101896	protein_coding	Cluster017	KN149945.1	3164	7066
CABZ01050166.1	ENSDARG00000101633	protein_coding	Cluster005	16	18422909	18453939
CABZ01051641.1	ENSDARG00000093254	protein_coding	Cluster004	4	70143228	70150606
CABZ01051641.2	ENSDARG00000098960	protein_coding	Cluster004	4	70151515	70160994
CABZ01053976.1	ENSDARG00000069929	protein_coding	Cluster135	16	53238144	53303526
CABZ01054394.3	ENSDARG00000090942	protein_coding	Cluster011	4	70966537	70982009
CABZ01057122.1	ENSDARG00000105192	protein_coding	Cluster146	20	28524484	28531121
CABZ01057159.1	ENSDARG00000102894	protein_coding	Cluster005	21	726765	732096
CABZ01059119.1	ENSDARG00000099804	protein_coding	Cluster003	20	47937555	47971653
CABZ01059415.2	ENSDARG00000087345	protein_coding	Cluster163	1	55990642	55992780
CABZ01059627.1	ENSDARG00000078394	protein_coding	Cluster002	10	19611604	19627894
CABZ01060490.1	ENSDARG00000098464	protein_coding	Cluster004	KN149696.1	57065	67873
CABZ01062995.1	ENSDARG00000100628	protein_coding	Cluster001	KN149966.1	78036	78221
CABZ01063601.1	ENSDARG00000102032	protein_coding	Cluster024	KN150172.1	5708	10807
CABZ01063757.1	ENSDARG00000098455	protein_coding	Cluster001	16	30385064	30387464
CABZ01066719.1	ENSDARG00000099731	protein_coding	Cluster004	KN150616.1	60067	61320
CABZ01066957.1	ENSDARG00000100177	protein_coding	Cluster002	KN149968.1	3248	13337
CABZ01067232.1	ENSDARG00000057408	protein_coding	Cluster005	15	45653529	45658748
CABZ01067945.1	ENSDARG00000103903	protein_coding	Cluster001	12	39549895	39581555
CABZ01068600.1	ENSDARG00000076651	protein_coding	Cluster206	25	4454875	4498498
CABZ01071407.1	ENSDARG00000013134	protein_coding	Cluster001	17	39926164	39933597
CABZ01071909.1	ENSDARG00000091841	protein_coding	Cluster182	4	72468478	72477950
CABZ01071911.1	ENSDARG00000090998	protein_coding	Cluster002	4	72538760	72554520
CABZ01071911.2	ENSDARG00000091793	protein_coding	Cluster009	4	72570048	72579130
CABZ01072043.1	ENSDARG00000102907	protein_coding	Cluster005	21	49418	65146
CABZ01072765.1	ENSDARG00000099654	protein_coding	Cluster002	7	68897233	68901516
CABZ01074130.1	ENSDARG00000105274	protein_coding	Cluster001	KN150214.1	271	23344
CABZ01074397.1	ENSDARG00000104672	protein_coding	Cluster005	KN149880.1	6192	50193
CABZ01074982.1	ENSDARG00000099884	protein_coding	Cluster004	KN149696.1	361611	368613
CABZ01076275.1	ENSDARG00000100753	protein_coding	Cluster003	KN150405.1	1085	65848
CABZ01078098.1	ENSDARG00000103158	protein_coding	Cluster109	11	44014334	44026831
CABZ01078594.1	ENSDARG00000101809	protein_coding	Cluster003	KN150637.1	22430	37942
CABZ01079241.1	ENSDARG00000098424	protein_coding	Cluster041	KN149681.1	11536	45957
CABZ01079251.1	ENSDARG00000100498	protein_coding	Cluster001	3	13332244	13338732
CABZ01079490.1	ENSDARG00000091595	protein_coding	Cluster021	20	51834473	51843328
CABZ01079764.1	ENSDARG00000068589	protein_coding	Cluster014	21	333325	337610
CABZ01079981.1	ENSDARG00000090707	protein_coding	Cluster005	16	26039777	26040958
CABZ01079986.1	ENSDARG00000104296	protein_coding	Cluster146	15	44555015	44561425
CABZ01080370.1	ENSDARG00000102550	protein_coding	Cluster127	15	49205	61507
CABZ01080599.1	ENSDARG00000100626	protein_coding	Cluster002	18	5066176	5078495
CABZ01081565.1	ENSDARG00000103822	protein_coding	Cluster001	KN150399.1	22	1756
CABZ01081752.1	ENSDARG00000099245	protein_coding	Cluster004	KN150703.1	23158	47525
CABZ01081780.1	ENSDARG00000063158	protein_coding	Cluster001	7	73115067	73165344
CABZ01083501.1	ENSDARG00000087843	protein_coding	Cluster003	25	57456	151990
CABZ01085140.1	ENSDARG00000098070	protein_coding	Cluster001	22	8161	14660
CABZ01085201.1	ENSDARG00000100769	protein_coding	Cluster001	KN150062.1	2988	22393
CABZ01087568.1	ENSDARG00000104615	protein_coding	Cluster147	15	47083456	47093308
CABZ01088567.1	ENSDARG00000103065	protein_coding	Cluster108	13	51524866	51527026
CABZ01088864.1	ENSDARG00000101464	protein_coding	Cluster001	KN150039.1	79	763
CABZ01089777.1	ENSDARG00000100613	protein_coding	Cluster001	13	51715298	51733019
CABZ01089974.1	ENSDARG00000101657	protein_coding	Cluster001	KN150359.1	181	7519
CABZ01090031.1	ENSDARG00000101895	miRNA	Cluster002	KN150699.1	14253	14390
CABZ01092285.1	ENSDARG00000088389	protein_coding	Cluster004	2	29111	31213
CABZ01101812.1	ENSDARG00000098297	protein_coding	Cluster006	KN149842.1	13358	14717
CABZ01102039.1	ENSDARG00000076357	protein_coding	Cluster001	12	6364	32783
CABZ01103811.1	ENSDARG00000101420	protein_coding	Cluster015	KN150112.1	1847	2038
CABZ01104045.1	ENSDARG00000101316	protein_coding	Cluster008	KN149734.1	1077	3890
CABZ01111496.1	ENSDARG00000003041	protein_coding	Cluster187	20	54370474	54385783
CABZ01112049.1	ENSDARG00000098538	protein_coding	Cluster005	KN150189.1	3	10065
CABZ01112215.1	ENSDARG00000079534	protein_coding	Cluster011	11	18080258	18081968
CABZ01113061.1	ENSDARG00000104492	protein_coding	Cluster001	KN150168.1	7633	14598
CABZ01113193.1	ENSDARG00000103342	protein_coding	Cluster005	KN149797.1	55564	70688
CABZ01113374.1	ENSDARG00000099838	protein_coding	Cluster001	18	50949408	50952472
CABZ01113771.1	ENSDARG00000098959	protein_coding	Cluster008	KN149914.1	21	16939
CABZ01114051.1	ENSDARG00000090486	protein_coding	Cluster001	25	48818	84317
CABZ01118154.1	ENSDARG00000098488	protein_coding	Cluster006	14	1716212	1717790
CACNA1I (1 of many)	ENSDARG00000096307	protein_coding	Cluster102	6	451899	520067
CAMK2N1	ENSDARG00000101387	protein_coding	Cluster001	11	3530983	3532680
CAPN1 (1 of many):ENSDARG00000045199	ENSDARG00000045199	protein_coding	Cluster002	7	6548425	6618314
CASKIN1 (1 of many):ENSDARG00000046107	ENSDARG00000046107	protein_coding	Cluster001	3	35503265	35671638
CASKIN1 (1 of many):ENSDARG00000100166	ENSDARG00000100166	protein_coding	Cluster001	1	7338209	7417384
CBFA2T3	ENSDARG00000079012	protein_coding	Cluster003	7	55354018	55406429
CCDC134 (1 of many):ENSDARG00000030508	ENSDARG00000030508	protein_coding	Cluster008	3	662601	671629
CCDC39	ENSDARG00000100981	protein_coding	Cluster006	2	7870827	7898610
CCDC50	ENSDARG00000105136	protein_coding	Cluster002	22	24291683	24335635
CDA	ENSDARG00000036426	protein_coding	Cluster014	7	20266250	20269640
CDH18 (1 of many)	ENSDARG00000102769	protein_coding	Cluster121	12	41814596	41965517
CDHR1 (1 of many)	ENSDARG00000104756	protein_coding	Cluster001	12	48956778	48967304
CDK18	ENSDARG00000012204	protein_coding	Cluster001	11	38013303	38154553
CELA1 (1 of many):ENSDARG00000017314	ENSDARG00000017314	protein_coding	Cluster005	22	7409630	7414668
CELA1 (1 of many):ENSDARG00000043168	ENSDARG00000043168	protein_coding	Cluster005	22	7467473	7479048
CELA1 (1 of many):ENSDARG00000043171	ENSDARG00000043171	protein_coding	Cluster005	22	7457021	7462702
CELA1 (1 of many):ENSDARG00000043173	ENSDARG00000043173	protein_coding	Cluster005	22	7450619	7453909
CELA1 (1 of many):ENSDARG00000077058	ENSDARG00000077058	protein_coding	Cluster005	22	7712365	7724545
CELA1 (1 of many):ENSDARG00000095462	ENSDARG00000095462	protein_coding	Cluster005	22	7433161	7446506
CEP120	ENSDARG00000091326	protein_coding	Cluster002	8	59241	108563
CEP170B (1 of many)	ENSDARG00000078327	protein_coding	Cluster001	20	3095757	3118041
CEP192	ENSDARG00000104831	protein_coding	Cluster053	16	10206217	10370750
CFI	ENSDARG00000099425	protein_coding	Cluster089	KN150402.1	17609	42424
CFP (1 of many)	ENSDARG00000078114	protein_coding	Cluster007	8	23668753	23680641
CHCHD5	ENSDARG00000091754	protein_coding	Cluster002	3	52640493	52644341
CHST8	ENSDARG00000074560	protein_coding	Cluster015	25	20290915	20413315
CLASP1 (1 of many)	ENSDARG00000104358	protein_coding	Cluster001	11	43710172	43812283
CLCC1	ENSDARG00000100186	protein_coding	Cluster002	22	24576375	24594828
CLEC3A	ENSDARG00000104788	protein_coding	Cluster023	7	65163634	65171140
CLN5	ENSDARG00000076339	protein_coding	Cluster087	9	16846320	16851655
CLRN3	ENSDARG00000100465	protein_coding	Cluster005	12	42897462	42908694
CLSTN2 (1 of many)	ENSDARG00000060638	protein_coding	Cluster001	15	41598197	41706802
CLTCL1	ENSDARG00000091618	protein_coding	Cluster015	8	1958653	2054392
CNGA1 (1 of many)	ENSDARG00000029898	protein_coding	Cluster001	1	43193074	43198258
CNGB1	ENSDARG00000042107	protein_coding	Cluster001	25	17411835	17455899
CNNM1	ENSDARG00000078087	protein_coding	Cluster001	13	40334634	40373033
CNTD1	ENSDARG00000088956	protein_coding	Cluster002	12	3453137	3461097
CNTNAP3	ENSDARG00000067824	protein_coding	Cluster001	10	2147869	2366584
COL10A1 (1 of many)	ENSDARG00000101535	protein_coding	Cluster005	20	494770	498370
COL18A1 (1 of many)	ENSDARG00000095901	protein_coding	Cluster001	6	18619145	18668330
COL21A1	ENSDARG00000025320	protein_coding	Cluster038	13	1665246	1723444
COL28A1 (1 of many):ENSDARG00000076321	ENSDARG00000076321	protein_coding	Cluster091	9	48600011	48673250
COL28A1 (1 of many):ENSDARG00000100781	ENSDARG00000100781	protein_coding	Cluster001	6	3479561	3513320
COL5A2 (1 of many)	ENSDARG00000031678	protein_coding	Cluster006	9	42851401	42894621
COLQ (1 of many)	ENSDARG00000074216	protein_coding	Cluster001	19	19839962	19859737
CORIN	ENSDARG00000101281	protein_coding	Cluster048	23	44137901	44188769
COX5B (1 of many):ENSDARG00000011208	ENSDARG00000011208	protein_coding	Cluster001	8	52419834	52426519
COX5B (1 of many):ENSDARG00000015978	ENSDARG00000015978	protein_coding	Cluster006	10	42546390	42550144
CPLX1 (1 of many)	ENSDARG00000077736	protein_coding	Cluster001	14	50866586	50892594
CPNE8 (1 of many)	ENSDARG00000102191	protein_coding	Cluster001	4	73733122	73840034
CR318653.1	ENSDARG00000075140	protein_coding	Cluster190	7	20379651	20385133
CR352285.1	ENSDARG00000091431	protein_coding	Cluster005	11	36971967	36972962
CR354540.1	ENSDARG00000004051	protein_coding	Cluster001	7	57969617	57977441
CR361561.1	ENSDARG00000099929	protein_coding	Cluster004	4	63963244	63968360
CR361561.2	ENSDARG00000102163	protein_coding	Cluster004	4	63982426	64010550
CR376723.1	ENSDARG00000075425	protein_coding	Cluster001	8	31203380	31209342
CR382372.2	ENSDARG00000104041	protein_coding	Cluster004	4	29315506	29333427
CR387997.1	ENSDARG00000099486	protein_coding	Cluster004	4	29050408	29059067
CR388046.1	ENSDARG00000068464	protein_coding	Cluster084	7	29521616	29523113
CR388132.1	ENSDARG00000101395	protein_coding	Cluster004	4	29209957	29225170
CR388231.1	ENSDARG00000076443	protein_coding	Cluster001	7	23696175	23725254
CR388363.1	ENSDARG00000090400	protein_coding	Cluster240	4	58803634	58827891
CR391998.1	ENSDARG00000091817	protein_coding	Cluster001	16	4256425	4272473
CR450780.5	ENSDARG00000104136	protein_coding	Cluster004	4	60131649	60320535
CR450793.1	ENSDARG00000088927	protein_coding	Cluster022	10	26973395	26977091
CR628395.2	ENSDARG00000104160	protein_coding	Cluster084	4	49753455	49757633
CR735126.1	ENSDARG00000044212	protein_coding	Cluster001	19	37955768	37979726
CR753886.1	ENSDARG00000090548	protein_coding	Cluster007	24	10918916	10928962
CR847847.1	ENSDARG00000087096	protein_coding	Cluster001	21	25735371	25736006
CR847895.1	ENSDARG00000099043	protein_coding	Cluster004	4	29391015	29405633
CR847986.1	ENSDARG00000061850	protein_coding	Cluster072	7	20223820	20250264
CR855996.2	ENSDARG00000104450	protein_coding	Cluster001	10	17075904	17079435
CRACR2A (1 of many)	ENSDARG00000068231	protein_coding	Cluster002	18	11588074	11626753
CRAT (1 of many)	ENSDARG00000016545	protein_coding	Cluster003	8	44932723	44982549
CRELD1	ENSDARG00000006990	protein_coding	Cluster007	8	54089727	54097634
CRIP2	ENSDARG00000033201	protein_coding	Cluster003	20	9441226	9474710
CRISP3	ENSDARG00000103034	protein_coding	Cluster005	16	50157425	50176281
CRISPLD2	ENSDARG00000088595	protein_coding	Cluster001	7	68832632	68869953
CSDC2 (1 of many)	ENSDARG00000100167	protein_coding	Cluster001	3	5098933	5106411
CSGALNACT1 (1 of many):ENSDARG00000089233	ENSDARG00000089233	protein_coding	Cluster001	8	569847	582821
CST7	ENSDARG00000101340	protein_coding	Cluster002	KN150663.1	111	632
CT030144.1	ENSDARG00000060962	protein_coding	Cluster026	7	15929299	15943187
CT030144.2	ENSDARG00000074813	protein_coding	Cluster001	7	15946425	15953498
CT573263.1	ENSDARG00000099760	protein_coding	Cluster004	4	64866060	64872970
CT573263.3	ENSDARG00000100471	protein_coding	Cluster004	4	64931252	64947206
CT573860.1	ENSDARG00000098327	protein_coding	Cluster002	3	54551940	54563492
CT583723.1	ENSDARG00000102759	protein_coding	Cluster001	8	35129731	35179756
CT737127.2	ENSDARG00000101797	protein_coding	Cluster004	4	66074040	66106973
CT978957.2	ENSDARG00000104385	pseudogene	Cluster004	5	68922755	68923819
CTSZ	ENSDARG00000099376	protein_coding	Cluster025	2	54060512	54071869
CTXN3	ENSDARG00000033508	protein_coding	Cluster001	10	16230687	16236268
CU019646.1	ENSDARG00000036414	protein_coding	Cluster015	7	19895191	19973244
CU019646.2	ENSDARG00000091234	protein_coding	Cluster002	7	19987960	19989382
CU207245.2	ENSDARG00000101278	protein_coding	Cluster004	4	30789852	30795470
CU302413.1	ENSDARG00000104586	protein_coding	Cluster037	4	30684985	30690221
CU326366.2	ENSDARG00000068593	protein_coding	Cluster026	10	43059021	43069864
CU467646.2	ENSDARG00000095486	protein_coding	Cluster002	4	75536652	75537791
CU467646.5	ENSDARG00000101763	protein_coding	Cluster002	4	75560210	75560911
CU570769.1	ENSDARG00000102371	protein_coding	Cluster022	22	1235691	1243852
CU633479.1	ENSDARG00000098747	protein_coding	Cluster001	24	41032106	41044878
CU633855.1	ENSDARG00000089563	protein_coding	Cluster052	15	47227238	47234869
CU651662.2	ENSDARG00000101240	protein_coding	Cluster001	7	71253105	71257852
CU655961.2	ENSDARG00000087212	protein_coding	Cluster022	15	44095364	44101436
CU693369.1	ENSDARG00000089534	protein_coding	Cluster001	2	53858767	53867436
CU856539.2	ENSDARG00000058946	protein_coding	Cluster002	10	2573044	2641613
CU915738.1	ENSDARG00000100088	protein_coding	Cluster002	15	37122103	37202477
CU929037.1	ENSDARG00000089607	protein_coding	Cluster010	17	49466616	49468012
CU929225.1	ENSDARG00000060688	protein_coding	Cluster001	10	40915175	40932872
CU929391.1	ENSDARG00000088039	protein_coding	Cluster002	15	44180421	44200742
CU984579.1	ENSDARG00000089543	protein_coding	Cluster001	5	36888191	36896815
CU984600.2	ENSDARG00000098204	protein_coding	Cluster150	9	561485	582765
CU984600.3	ENSDARG00000098640	protein_coding	Cluster004	9	535602	544884
CYP27A1 (1 of many)	ENSDARG00000088013	protein_coding	Cluster001	9	38617774	38647605
CYSTM1 (1 of many):ENSDARG00000073961	ENSDARG00000073961	protein_coding	Cluster002	21	32018822	32027735
DCHS2	ENSDARG00000037286	protein_coding	Cluster001	1	24902969	24959927
DCUN1D3	ENSDARG00000011493	protein_coding	Cluster002	24	39630927	39647408
DEPDC1B	ENSDARG00000099541	protein_coding	Cluster069	KN150240.1	21351	28237
DEPDC7 (1 of many)	ENSDARG00000053246	protein_coding	Cluster002	25	5845288	5855100
DGKI	ENSDARG00000063578	protein_coding	Cluster001	4	4605698	4698462
DISP3	ENSDARG00000036999	protein_coding	Cluster001	8	51061532	51158521
DKEY-225F5.4	ENSDARG00000101975	protein_coding	Cluster002	3	23367889	23382607
