name	gene_id	biotype	cluster	chr	start	end
BX322608.1	ENSDARG00000088002	protein_coding	NA	4	16455665	16461870
BX322657.1	ENSDARG00000103605	protein_coding	Cluster041	22	1394855	1398780
BX323023.2	ENSDARG00000104750	protein_coding	Cluster007	4	29817305	29862193
BX323087.1	ENSDARG00000075779	protein_coding	Cluster001	23	6397917	6442296
BX323854.2	ENSDARG00000030778	protein_coding	Cluster005	24	40102848	40104407
BX324003.1	ENSDARG00000090220	protein_coding	Cluster026	4	32764185	32865433
BX324155.1	ENSDARG00000104638	protein_coding	Cluster023	4	46447572	46456087
BX324179.1	ENSDARG00000101418	protein_coding	Cluster023	4	34103310	34166767
BX324179.3	ENSDARG00000103008	protein_coding	Cluster007	4	34172073	34179372
BX324215.3	ENSDARG00000078349	protein_coding	Cluster005	22	30709100	30713494
BX324216.1	ENSDARG00000086839	protein_coding	Cluster007	22	9998189	10005581
BX469910.2	ENSDARG00000102016	protein_coding	Cluster007	4	56988719	56994019
BX470115.1	ENSDARG00000090452	protein_coding	Cluster026	4	47146892	47148050
BX470189.1	ENSDARG00000067658	protein_coding	Cluster002	5	47324247	47325850
BX510909.1	ENSDARG00000098877	protein_coding	Cluster007	KN149695.1	52920	60511
BX510909.3	ENSDARG00000104294	protein_coding	Cluster007	KN149695.1	99691	111469
BX510934.1	ENSDARG00000087544	protein_coding	Cluster007	4	55439551	55441277
BX511021.1	ENSDARG00000070406	protein_coding	NA	3	32214389	32215327
BX511215.1	ENSDARG00000098062	protein_coding	Cluster023	4	65419237	65546219
BX530097.1	ENSDARG00000104762	protein_coding	Cluster007	4	29775758	29835564
BX537137.2	ENSDARG00000102545	protein_coding	Cluster184	4	36423137	36428737
BX537350.1	ENSDARG00000073789	protein_coding	Cluster002	22	31074039	31083852
BX548000.1	ENSDARG00000079546	protein_coding	Cluster003	11	29295038	29304002
BX548047.2	ENSDARG00000094120	protein_coding	Cluster005	2	48126682	48129830
BX548067.1	ENSDARG00000098986	protein_coding	Cluster007	4	38939438	38949041
BX569789.3	ENSDARG00000099678	protein_coding	Cluster017	3	24544481	24550856
BX571664.1	ENSDARG00000093220	protein_coding	Cluster023	4	40439384	40454597
BX571811.1	ENSDARG00000095082	protein_coding	Cluster001	7	32880482	32904971
BX572103.3	ENSDARG00000102311	protein_coding	Cluster007	4	65078832	65090234
BX601644.1	ENSDARG00000090632	protein_coding	Cluster002	9	35026883	35033230
BX640406.1	ENSDARG00000076565	protein_coding	Cluster001	13	15044972	15046726
BX640461.2	ENSDARG00000099193	protein_coding	Cluster007	4	52586627	52602725
BX640547.1	ENSDARG00000100076	protein_coding	Cluster007	4	50924288	50933098
BX640584.1	ENSDARG00000092436	protein_coding	Cluster135	4	50480544	50486215
BX640584.3	ENSDARG00000100838	protein_coding	NA	4	50706867	50713134
BX640584.4	ENSDARG00000102347	protein_coding	Cluster026	4	50465753	50474941
BX649453.1	ENSDARG00000098872	protein_coding	Cluster023	4	36238097	36238477
BX649453.3	ENSDARG00000104407	protein_coding	Cluster007	4	36164175	36180953
BX649620.1	ENSDARG00000103741	protein_coding	Cluster007	4	31108576	31118245
BX664622.2	ENSDARG00000098302	protein_coding	Cluster026	KN149689.1	35308	42104
BX842701.1	ENSDARG00000068460	protein_coding	Cluster014	7	39192029	39216728
BX855614.3	ENSDARG00000102154	protein_coding	Cluster084	4	72116419	72132500
BX901974.2	ENSDARG00000103086	protein_coding	Cluster250	4	62148965	62150080
BX908782.1	ENSDARG00000098957	protein_coding	Cluster001	2	52197360	52202121
BX908782.2	ENSDARG00000100184	protein_coding	Cluster005	2	52180833	52189501
BX927193.1	ENSDARG00000100673	protein_coding	Cluster023	4	44999378	45003832
BX957297.1	ENSDARG00000090615	protein_coding	Cluster001	7	38424470	38427354
BX957322.1	ENSDARG00000089562	protein_coding	Cluster020	10	21565262	21575024
C1QTNF4 (1 of many)	ENSDARG00000087659	protein_coding	Cluster001	18	15801949	15803042
C2	ENSDARG00000019772	protein_coding	Cluster001	15	517688	535747
C2CD2	ENSDARG00000105000	protein_coding	Cluster247	10	33361919	33399320
CAAP1	ENSDARG00000079652	protein_coding	Cluster007	7	73615539	73620533
CABP7 (1 of many)	ENSDARG00000078272	protein_coding	Cluster002	5	11002277	11009863
CABZ01001464.1	ENSDARG00000101149	protein_coding	NA	4	30662757	30668776
CABZ01002345.1	ENSDARG00000102897	protein_coding	Cluster007	4	70443121	70457107
CABZ01003344.2	ENSDARG00000102600	protein_coding	Cluster026	KN149847.1	66755	67936
CABZ01009880.1	ENSDARG00000099955	protein_coding	Cluster002	3	12089188	12107222
CABZ01017723.1	ENSDARG00000104652	protein_coding	Cluster007	KN150666.1	729	13375
CABZ01017734.1	ENSDARG00000100328	protein_coding	NA	KN150667.1	25615	38637
CABZ01019474.1	ENSDARG00000100023	protein_coding	Cluster007	KN150080.1	8916	21154
CABZ01020207.1	ENSDARG00000086724	protein_coding	Cluster004	6	47485066	47507826
CABZ01021426.1	ENSDARG00000103850	protein_coding	NA	4	71680897	71697202
CABZ01021450.2	ENSDARG00000100390	protein_coding	Cluster007	4	71354577	71367468
CABZ01021450.3	ENSDARG00000102749	protein_coding	Cluster007	4	71289786	71390457
CABZ01021453.1	ENSDARG00000102090	protein_coding	Cluster007	4	71273520	71279036
CABZ01021454.1	ENSDARG00000101974	protein_coding	Cluster007	4	71239374	71251160
CABZ01024856.2	ENSDARG00000104013	protein_coding	Cluster026	KN149992.1	51454	56497
CABZ01029822.1	ENSDARG00000086931	protein_coding	Cluster001	19	6937664	6954182
CABZ01030107.1	ENSDARG00000058631	protein_coding	Cluster001	12	4498909	4505552
CABZ01033205.2	ENSDARG00000090943	protein_coding	Cluster001	15	179112	187572
CABZ01033540.1	ENSDARG00000101451	protein_coding	Cluster007	4	68454152	68461979
CABZ01038499.1	ENSDARG00000088258	protein_coding	Cluster002	3	58212399	58237954
CABZ01038517.1	ENSDARG00000031618	protein_coding	Cluster004	3	58450693	58488954
CABZ01038709.1	ENSDARG00000101026	protein_coding	Cluster001	KN150709.1	28322	30415
CABZ01038979.1	ENSDARG00000100502	protein_coding	Cluster023	KN150372.1	16021	21360
CABZ01041812.1	ENSDARG00000061481	protein_coding	Cluster001	24	29770121	29789185
CABZ01041962.1	ENSDARG00000076082	protein_coding	Cluster007	5	6393351	6397953
CABZ01044099.1	ENSDARG00000100053	protein_coding	Cluster002	24	41654560	41756952
CABZ01044297.1	ENSDARG00000074745	protein_coding	Cluster012	13	1596016	1650722
CABZ01046954.1	ENSDARG00000103162	protein_coding	Cluster040	25	32784669	32790239
CABZ01047424.1	ENSDARG00000041464	pseudogene	Cluster056	16	53894398	53896034
CABZ01048399.1	ENSDARG00000101896	protein_coding	Cluster002	KN149945.1	3164	7066
CABZ01050166.1	ENSDARG00000101633	protein_coding	Cluster005	16	18422909	18453939
CABZ01051641.1	ENSDARG00000093254	protein_coding	Cluster007	4	70143228	70150606
CABZ01051641.2	ENSDARG00000098960	protein_coding	Cluster007	4	70151515	70160994
CABZ01051901.1	ENSDARG00000073976	protein_coding	Cluster008	1	44604598	44613781
CABZ01053976.1	ENSDARG00000069929	protein_coding	Cluster063	16	53238144	53303526
CABZ01054391.1	ENSDARG00000104152	protein_coding	Cluster002	4	71030130	71046860
CABZ01054394.3	ENSDARG00000090942	protein_coding	Cluster002	4	70966537	70982009
CABZ01054396.1	ENSDARG00000089598	protein_coding	Cluster070	4	70897882	70912559
CABZ01054405.1	ENSDARG00000089604	protein_coding	Cluster024	4	70717551	70726459
CABZ01054962.1	ENSDARG00000088672	protein_coding	Cluster002	9	53471604	53522472
CABZ01057122.1	ENSDARG00000105192	protein_coding	Cluster002	20	28524484	28531121
CABZ01057159.1	ENSDARG00000102894	protein_coding	Cluster005	21	726765	732096
CABZ01057488.2	ENSDARG00000104742	protein_coding	NA	7	68795418	68810879
CABZ01059119.1	ENSDARG00000099804	protein_coding	Cluster004	20	47937555	47971653
CABZ01059120.1	ENSDARG00000100162	protein_coding	Cluster002	20	47976468	47994412
CABZ01059309.1	ENSDARG00000095569	protein_coding	Cluster007	4	42250204	42251451
CABZ01059415.2	ENSDARG00000087345	protein_coding	Cluster124	1	55990642	55992780
CABZ01059627.1	ENSDARG00000078394	protein_coding	Cluster003	10	19611604	19627894
CABZ01059627.2	ENSDARG00000079681	protein_coding	Cluster010	10	19616546	19618372
CABZ01060490.1	ENSDARG00000098464	protein_coding	Cluster007	KN149696.1	57065	67873
CABZ01063297.1	ENSDARG00000102282	protein_coding	Cluster002	KN150317.1	4727	5821
CABZ01063601.1	ENSDARG00000102032	protein_coding	Cluster254	KN150172.1	5708	10807
CABZ01063757.1	ENSDARG00000098455	protein_coding	Cluster001	16	30385064	30387464
CABZ01066719.1	ENSDARG00000099731	protein_coding	Cluster007	KN150616.1	60067	61320
CABZ01066957.1	ENSDARG00000100177	protein_coding	Cluster003	KN149968.1	3248	13337
CABZ01067232.1	ENSDARG00000057408	protein_coding	Cluster005	15	45653529	45658748
CABZ01067945.1	ENSDARG00000103903	protein_coding	Cluster001	12	39549895	39581555
CABZ01068600.1	ENSDARG00000076651	protein_coding	NA	25	4454875	4498498
CABZ01069006.1	ENSDARG00000087185	protein_coding	Cluster002	5	60113194	60125240
CABZ01069016.1	ENSDARG00000088367	protein_coding	Cluster002	4	72300353	72372221
CABZ01071407.1	ENSDARG00000013134	protein_coding	Cluster001	17	39926164	39933597
CABZ01071909.1	ENSDARG00000091841	protein_coding	Cluster002	4	72468478	72477950
CABZ01071911.1	ENSDARG00000090998	protein_coding	Cluster003	4	72538760	72554520
CABZ01072043.1	ENSDARG00000102907	protein_coding	Cluster005	21	49418	65146
CABZ01072765.1	ENSDARG00000099654	protein_coding	Cluster003	7	68897233	68901516
CABZ01074130.1	ENSDARG00000105274	protein_coding	Cluster001	KN150214.1	271	23344
CABZ01074397.1	ENSDARG00000104672	protein_coding	Cluster005	KN149880.1	6192	50193
CABZ01074982.1	ENSDARG00000099884	protein_coding	Cluster007	KN149696.1	361611	368613
CABZ01076275.1	ENSDARG00000100753	protein_coding	Cluster004	KN150405.1	1085	65848
CABZ01076737.1	ENSDARG00000103792	protein_coding	Cluster046	5	2855023	2879613
CABZ01076985.1	ENSDARG00000067599	protein_coding	Cluster023	KN150530.1	2388	4392
CABZ01078098.1	ENSDARG00000103158	protein_coding	Cluster010	11	44014334	44026831
CABZ01078594.1	ENSDARG00000101809	protein_coding	Cluster004	KN150637.1	22430	37942
CABZ01079039.1	ENSDARG00000098269	protein_coding	Cluster001	KN149943.1	18756	25930
CABZ01079241.1	ENSDARG00000098424	protein_coding	NA	KN149681.1	11536	45957
CABZ01079251.1	ENSDARG00000100498	protein_coding	Cluster001	3	13332244	13338732
CABZ01079303.1	ENSDARG00000098142	protein_coding	Cluster052	KN149850.1	11648	12280
CABZ01079490.1	ENSDARG00000091595	protein_coding	Cluster011	20	51834473	51843328
CABZ01079764.1	ENSDARG00000068589	protein_coding	Cluster022	21	333325	337610
CABZ01079981.1	ENSDARG00000090707	protein_coding	Cluster005	16	26039777	26040958
CABZ01079986.1	ENSDARG00000104296	protein_coding	Cluster002	15	44555015	44561425
CABZ01080370.1	ENSDARG00000102550	protein_coding	Cluster008	15	49205	61507
CABZ01080379.1	ENSDARG00000098503	protein_coding	Cluster002	24	41485263	41522933
CABZ01080599.1	ENSDARG00000100626	protein_coding	Cluster003	18	5066176	5078495
CABZ01081565.1	ENSDARG00000103822	protein_coding	Cluster001	KN150399.1	22	1756
CABZ01081752.1	ENSDARG00000099245	protein_coding	Cluster007	KN150703.1	23158	47525
CABZ01081752.2	ENSDARG00000102800	protein_coding	Cluster008	KN150703.1	36969	40261
CABZ01081780.1	ENSDARG00000063158	protein_coding	Cluster001	7	73115067	73165344
CABZ01084612.1	ENSDARG00000105295	protein_coding	Cluster002	1	57938121	57942732
CABZ01084613.1	ENSDARG00000090020	protein_coding	Cluster011	1	57944278	57951994
CABZ01085857.1	ENSDARG00000069867	protein_coding	Cluster002	15	4184849	4195686
CABZ01087514.1	ENSDARG00000090861	protein_coding	Cluster101	3	60367547	60379564
CABZ01087568.1	ENSDARG00000104615	protein_coding	NA	15	47083456	47093308
CABZ01089777.1	ENSDARG00000100613	protein_coding	Cluster001	13	51715298	51733019
CABZ01089974.1	ENSDARG00000101657	protein_coding	Cluster001	KN150359.1	181	7519
CABZ01092285.1	ENSDARG00000088389	protein_coding	Cluster030	2	29111	31213
CABZ01092941.1	ENSDARG00000098418	protein_coding	Cluster002	KN149753.1	977	11941
CABZ01092997.1	ENSDARG00000101433	pseudogene	NA	12	48689822	48691005
CABZ01102039.1	ENSDARG00000076357	protein_coding	Cluster001	12	6364	32783
CABZ01102578.1	ENSDARG00000102207	protein_coding	NA	KN149735.1	22	4011
CABZ01104045.1	ENSDARG00000101316	protein_coding	Cluster009	KN149734.1	1077	3890
CABZ01111496.1	ENSDARG00000003041	protein_coding	Cluster131	20	54370474	54385783
CABZ01111729.1	ENSDARG00000104261	protein_coding	NA	KN150521.1	16312	19487
CABZ01112049.1	ENSDARG00000098538	protein_coding	Cluster005	KN150189.1	3	10065
CABZ01112215.1	ENSDARG00000079534	protein_coding	Cluster002	11	18080258	18081968
CABZ01112575.1	ENSDARG00000099354	protein_coding	NA	KN150207.1	840	1217
CABZ01113193.1	ENSDARG00000103342	protein_coding	Cluster005	KN149797.1	55564	70688
CABZ01113374.1	ENSDARG00000099838	protein_coding	Cluster001	18	50949408	50952472
CABZ01113771.1	ENSDARG00000098959	protein_coding	Cluster003	KN149914.1	21	16939
CABZ01114051.1	ENSDARG00000090486	protein_coding	Cluster001	25	48818	84317
CABZ01114898.1	ENSDARG00000102797	protein_coding	Cluster002	24	36158661	36207564
CABZ01115396.1	ENSDARG00000099805	protein_coding	NA	5	71611091	71615742
CABZ01118154.1	ENSDARG00000098488	protein_coding	Cluster014	14	1716212	1717790
CACNA1I (1 of many)	ENSDARG00000096307	protein_coding	Cluster002	6	451899	520067
CACUL1	ENSDARG00000021885	protein_coding	Cluster002	13	50012247	50032585
CAMK2N1	ENSDARG00000101387	protein_coding	Cluster001	11	3530983	3532680
CAMSAP3	ENSDARG00000059475	protein_coding	NA	3	53097754	53196642
CAPN1 (1 of many)	ENSDARG00000045199	protein_coding	Cluster003	7	6548425	6618314
CAPN15	ENSDARG00000060600	protein_coding	Cluster002	24	39139517	39197188
CASKIN1 (1 of many)	ENSDARG00000046107	protein_coding	Cluster152	3	35503265	35671638
CASKIN1 (1 of many).1	ENSDARG00000100166	protein_coding	Cluster001	1	7338209	7417384
CBFA2T3	ENSDARG00000079012	protein_coding	Cluster016	7	55354018	55406429
CC2D1A	ENSDARG00000036281	protein_coding	Cluster002	1	54536875	54561631
CCDC134 (1 of many)	ENSDARG00000030508	protein_coding	Cluster009	3	662601	671629
CCDC39	ENSDARG00000100981	protein_coding	Cluster013	2	7870827	7898610
CCDC50	ENSDARG00000105136	protein_coding	Cluster003	22	24291683	24335635
CCDC86	ENSDARG00000059908	protein_coding	Cluster251	1	51817272	51826584
CDA	ENSDARG00000036426	protein_coding	Cluster022	7	20266250	20269640
CDC42BPA	ENSDARG00000016464	protein_coding	Cluster002	20	35182345	35303401
CDH18 (1 of many)	ENSDARG00000102769	protein_coding	Cluster191	12	41814596	41965517
CDK18	ENSDARG00000012204	protein_coding	Cluster001	11	38013303	38154553
CELA1 (1 of many)	ENSDARG00000017314	protein_coding	Cluster005	22	7409630	7414668
CELA1 (1 of many).1	ENSDARG00000043168	protein_coding	Cluster005	22	7467473	7479048
CELA1 (1 of many).2	ENSDARG00000043171	protein_coding	Cluster005	22	7457021	7462702
CELA1 (1 of many).3	ENSDARG00000043173	protein_coding	Cluster005	22	7450619	7453909
CELA1 (1 of many).5	ENSDARG00000077058	protein_coding	Cluster005	22	7712365	7724545
CELA1 (1 of many).6	ENSDARG00000095462	protein_coding	Cluster005	22	7433161	7446506
CEP120	ENSDARG00000091326	protein_coding	Cluster003	8	59241	108563
CEP170B (1 of many)	ENSDARG00000078327	protein_coding	Cluster001	20	3095757	3118041
CEP192	ENSDARG00000104831	protein_coding	Cluster002	16	10206217	10370750
CFI	ENSDARG00000099425	protein_coding	Cluster143	KN150402.1	17609	42424
CFP (1 of many)	ENSDARG00000078114	protein_coding	Cluster014	8	23668753	23680641
CHCHD4 (1 of many)	ENSDARG00000040707	protein_coding	Cluster002	6	40062873	40065928
CHCHD5	ENSDARG00000091754	protein_coding	Cluster003	3	52640493	52644341
CHST6	ENSDARG00000061357	protein_coding	Cluster002	25	34357267	34365933
CIT	ENSDARG00000089856	protein_coding	Cluster116	5	2138899	2372606
CLASP1 (1 of many)	ENSDARG00000104358	protein_coding	Cluster020	11	43710172	43812283
CLCC1	ENSDARG00000100186	protein_coding	Cluster003	22	24576375	24594828
CLDN23	ENSDARG00000103703	protein_coding	Cluster054	10	15092350	15095495
CLEC3A	ENSDARG00000104788	protein_coding	Cluster001	7	65163634	65171140
CLN5	ENSDARG00000076339	protein_coding	Cluster002	9	16846320	16851655
CLRN3	ENSDARG00000100465	protein_coding	Cluster005	12	42897462	42908694
CLSTN2 (1 of many)	ENSDARG00000060638	protein_coding	Cluster001	15	41598197	41706802
CNDP1	ENSDARG00000069583	protein_coding	NA	16	55296448	55320715
CNGA1 (1 of many)	ENSDARG00000029898	protein_coding	Cluster001	1	43193074	43198258
CNGB1	ENSDARG00000042107	protein_coding	Cluster001	25	17411835	17455899
CNNM1	ENSDARG00000078087	protein_coding	Cluster001	13	40334634	40373033
CNNM3	ENSDARG00000099568	protein_coding	Cluster002	KN150361.1	1369	16229
CNTD1	ENSDARG00000088956	protein_coding	Cluster003	12	3453137	3461097
CNTNAP3	ENSDARG00000067824	protein_coding	Cluster020	10	2147869	2366584
COL10A1 (1 of many)	ENSDARG00000101535	protein_coding	Cluster005	20	494770	498370
COL13A1	ENSDARG00000091398	protein_coding	NA	13	7667163	7761345
COL18A1 (1 of many)	ENSDARG00000095901	protein_coding	Cluster001	6	18619145	18668330
COL28A1 (1 of many)	ENSDARG00000076321	protein_coding	NA	9	48600011	48673250
COL28A1 (1 of many).2	ENSDARG00000100781	protein_coding	Cluster001	6	3479561	3513320
COL5A2 (1 of many)	ENSDARG00000031678	protein_coding	Cluster014	9	42851401	42894621
COLGALT1 (1 of many)	ENSDARG00000058270	protein_coding	NA	1	57277394	57300827
COLQ (1 of many)	ENSDARG00000074216	protein_coding	Cluster001	19	19839962	19859737
COMP	ENSDARG00000098431	protein_coding	Cluster074	11	6934461	6964183
CORIN	ENSDARG00000101281	protein_coding	Cluster043	23	44137901	44188769
COX5B (1 of many)	ENSDARG00000011208	protein_coding	Cluster001	8	52419834	52426519
COX5B (1 of many).1	ENSDARG00000015978	protein_coding	Cluster217	10	42546390	42550144
CPEB4 (1 of many)	ENSDARG00000100499	protein_coding	NA	21	41452320	41508809
CPLX1 (1 of many)	ENSDARG00000077736	protein_coding	Cluster001	14	50866586	50892594
CPNE8 (1 of many)	ENSDARG00000102191	protein_coding	Cluster001	4	73733122	73840034
CR318603.3	ENSDARG00000098915	protein_coding	Cluster167	7	23894242	23901123
CR352285.1	ENSDARG00000091431	protein_coding	Cluster005	11	36971967	36972962
CR361547.1	ENSDARG00000100124	protein_coding	Cluster023	4	38741916	38851751
CR361561.2	ENSDARG00000102163	protein_coding	NA	4	63982426	64010550
CR376723.1	ENSDARG00000075425	protein_coding	Cluster001	8	31203380	31209342
CR376787.1	ENSDARG00000036420	protein_coding	Cluster167	7	20141283	20170713
CR381676.1	ENSDARG00000074367	protein_coding	Cluster002	7	51049756	51081785
CR382372.1	ENSDARG00000101105	protein_coding	Cluster007	4	29340387	29350323
CR382372.2	ENSDARG00000104041	protein_coding	Cluster007	4	29315506	29333427
CR383668.1	ENSDARG00000098190	protein_coding	Cluster023	4	30539280	30540146
CR387997.1	ENSDARG00000099486	protein_coding	Cluster007	4	29050408	29059067
CR388042.3	ENSDARG00000104496	protein_coding	Cluster007	4	51979572	51991944
CR388046.1	ENSDARG00000068464	protein_coding	Cluster023	7	29521616	29523113
CR388132.1	ENSDARG00000101395	protein_coding	Cluster007	4	29209957	29225170
CR388132.2	ENSDARG00000101782	protein_coding	Cluster008	4	29157891	29166800
CR388231.1	ENSDARG00000076443	protein_coding	Cluster001	7	23696175	23725254
CR388363.1	ENSDARG00000090400	protein_coding	Cluster135	4	58803634	58827891
CR391944.1	ENSDARG00000102276	protein_coding	Cluster011	3	149395	174093
CR391998.1	ENSDARG00000091817	protein_coding	Cluster001	16	4256425	4272473
CR450780.5	ENSDARG00000104136	protein_coding	Cluster007	4	60131649	60320535
