FIELD	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maxObservedReadLength	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREALIGNMENT_READ_CT	8385880	8283622	6207507	6496296	6339883	7569861	6359796	6140346	7758527	7420624	7094252	6137070	6821005	6906128	5452336	6609555	6591552	6657009	6307244	7360928	6370885	7195697	7424824	7478182	7267711	6662608	7119178	7740397	6457338	7341718	6759837	6763210	6946148	6257047	5797207	6480892	6533312	6971005	6736402	5919019	7076224	6366830	7587281	6907490	6473809	6307721	5757614	7083131	6223356	6163102	5730524	5605982	5977494	5454766	5305676	6775530	7370082	7168926	6475660	6443146	5757705	5598449	6268337	6580611	6906674	5746536	5469700	7949283	7787972	5376094	5619649	6156441	5562682	5639688	6413621	6503054	7377488	6066425	6150140	5764439	6326491	5845797	6702361	6563825	6555335	6388244	6764870	7763938	7198420	7026212
BENCHMARK_MinutesOnSamIteration	37.72	46.45	25.68	21.15	20.55	26.88	18.7	24.78	33.23	25.53	26.37	28.67	30.1	40.45	30.38	35.02	35.07	35.87	33.6	43.05	25.73	22.43	36.52	31.63	29.62	29.35	36.92	28.77	24.8	28.22	31.38	19.87	20.52	23.87	18.68	32.2	30.67	31.37	33.25	26.98	37.28	30	45.53	36.03	33.85	27.15	25.42	31.38	17.33	21.73	24.92	19.72	27.73	17.3	17.08	29.67	29.87	28.4	28.78	29.83	21.1	24.57	28.53	31.75	34.43	16.55	20.53	27.93	34.52	19.17	26.47	29.12	25.77	20.48	29.85	30.53	36.68	30.82	24.77	21.82	29.78	24.58	24.07	29.08	27.67	33.15	26.97	31.67	33.97	32.35
BENCHMARK_MinutesPerMillionReads	5.83	7.13	5.24	4.17	4.14	4.61	3.92	5.24	5.58	4.52	4.57	5.78	5.48	7.34	7.09	6.67	6.71	6.78	6.66	7.27	5.4	4.15	6.62	5.59	5.41	5.91	7.01	4.94	5.09	5.1	6.04	3.87	3.83	4.96	4.22	6.36	6.06	6.02	6.31	5.93	6.57	6.04	7.52	6.6	6.64	5.82	5.99	5.95	3.77	4.77	5.91	4.79	6.28	4.32	4.39	5.66	5.21	5.17	5.69	5.91	4.91	5.87	6.09	6.5	6.53	3.91	5.06	4.66	5.9	4.81	6.27	6.39	6.15	4.82	6.15	6.24	6.52	6.76	5.38	5.07	6.41	5.69	4.88	6	5.82	6.6	5.09	5.2	6.06	6
BENCHMARK_MinutesPerMillionGoodReads	6.56	8.11	6.51	5.4	5.32	5.96	5.61	7.4	7.47	6.04	5.32	6.91	6.37	8.11	7.91	8.22	8.35	8.36	8.34	8.55	7.3	5.45	9	7.34	7.36	8.26	9.17	6.81	7.17	7.13	7.29	4.7	5.02	6.63	5.59	8.63	8.43	8.06	8.35	8.28	8.55	8.16	9.03	7.99	8.56	8.36	8.65	8.25	5.21	6.64	8.65	6.7	8.82	6.29	6.22	7.54	6.72	6.63	7.48	7.34	6.86	8.26	8.59	9.04	8.56	5.67	7.13	5.82	7.37	6.79	8.71	8.69	8.72	6.82	8.53	8.33	8.72	9.25	7.43	6.99	8.92	8.1	6.96	8.32	8.03	8.77	6.71	7.06	8.25	8.04
ReadPairs_AmbigGene	29941	30138	21359	21299	20866	32791	24999	23816	32727	31022	24646	20116	22822	23859	17994	21963	22035	23437	21574	26649	26137	30016	30078	32642	30711	31392	34443	37379	31345	35041	28326	27653	27640	23115	22914	30339	28783	30220	31172	25755	22167	19165	26271	22383	21197	45852	41091	52962	45543	46318	44194	44112	45556	43047	41734	21904	26217	22904	21564	23434	44235	44465	48142	51019	56768	34232	33844	53627	52557	32040	40950	41423	39284	41268	45776	45300	51374	43054	41586	40492	43809	41078	46247	44649	46656	27891	29545	32556	30858	29391
ReadPairs_UniqueGene	4947762	4933314	3384908	3384396	3311741	3690581	2766675	2695425	3691245	3506597	4106167	3426191	3789104	4101964	3160555	3433691	3487343	3586718	3364122	4272711	2917032	3480351	3377778	3656669	3400990	2928427	3257751	3526533	2887054	3326855	3570571	3531893	3423888	3006759	2803760	3146479	3084447	3314293	3208788	2748040	3675716	3171988	4349747	3617062	3449448	2699654	2442015	3154679	2756056	2719075	2399950	2419730	2589365	2277354	2261720	3280209	3700990	3449588	3256463	3443305	2584886	2512836	2821363	2964592	3387696	2514162	2474692	4126073	4020820	2432050	2601328	2863560	2548098	2573674	3014001	3043692	3536252	2799429	2810289	2620284	2762291	2523593	2868254	2885574	2840620	3033449	3379767	3735299	3448191	3356192
ReadPairs_UniqueGene_CDS	3426094	3584096	2357770	2408466	2365915	2491526	1848341	1843384	2453653	2303970	2556343	2117729	2239790	2423908	1827578	2142471	2164048	2295640	2186576	2668043	1848953	2225293	2188556	2419017	2251542	1998657	2208749	2406438	2005788	2298566	2248684	2222806	2207146	1930799	1767771	2190208	2133228	2246798	2148799	1880860	2756099	2261880	3235543	2599770	2427967	1969379	1780898	2298463	2003596	1987841	1751230	1755998	1866816	1656764	1627376	1979206	2331890	2005214	2116278	2357053	1853855	1821728	2062628	2126459	2456993	1828041	1781277	2981879	2910996	1761429	1869372	1990081	1886307	1890233	2214822	2121596	2522614	1972461	1981037	1842950	1968313	1824538	2047012	2056738	1979209	2052556	2280226	2544038	2375939	2208643
ReadPairs_UniqueGene_UTR	1521668	1349218	1027138	975930	945826	1199055	918334	852041	1237592	1202627	1549824	1308462	1549314	1678056	1332977	1291220	1323295	1291078	1177546	1604668	1068079	1255058	1189222	1237652	1149448	929770	1049002	1120095	881266	1028289	1321887	1309087	1216742	1075960	1035989	956271	951219	1067495	1059989	867180	919617	910108	1114204	1017292	1021481	730275	661117	856216	752460	731234	648720	663732	722549	620590	634344	1301003	1369100	1444374	1140185	1086252	731031	691108	758735	838133	930703	686121	693415	1144194	1109824	670621	731956	873479	661791	683441	799179	922096	1013638	826968	829252	777334	793978	699055	821242	828836	861411	980893	1099541	1191261	1072252	1147549
ReadPairs_NoGene	775475	762558	539444	511424	533715	788814	541168	629393	723554	687704	821076	701179	914063	861037	664789	801720	688646	680529	641780	734595	584288	605696	648560	618504	594654	592406	731713	658946	539498	595281	705704	671445	637406	568939	515786	554494	522630	548099	741673	485976	662572	485200	668804	872482	482055	503853	454156	596137	524442	506191	436612	480506	509693	427886	443042	634301	717610	813400	571520	595381	445786	417985	452609	497276	579178	372831	371212	616071	606859	357788	396660	444290	368975	388366	440852	578494	618754	489479	482997	458383	533101	468586	541101	565273	559013	719168	610801	715893	638936	639309
ReadPairs_NoGene_Intron	177584	214093	169714	128529	157319	290303	172779	261509	232677	223409	145741	116240	138482	105382	71790	113741	92257	83124	99885	97227	150926	136255	166981	154990	143153	153323	197055	179714	166305	159829	162852	160063	169102	157866	126730	175640	147162	167890	245795	142189	213377	115665	194717	261922	128802	109604	102730	133846	118977	114808	97187	115759	122313	101464	107020	126261	157988	170910	125474	112711	103588	91979	99735	114396	116995	98215	104546	161348	160651	92113	91831	110270	84800	92661	100372	158623	153978	119321	115653	116684	109140	99764	117899	123213	120332	221677	169415	227174	174251	151447
ReadPairs_NoGene_OneKbFromGene	101041	89734	60917	63696	61792	80230	60709	59329	79774	75215	45243	40714	49831	55212	44134	48303	53165	51697	43573	55560	64816	70951	75923	74495	71629	62508	72311	80919	65456	74922	68440	66288	58000	57078	50674	52036	53856	60128	55644	49357	55435	60043	70233	64045	61780	73515	66297	85218	75058	72844	63064	66259	70834	60531	61076	61577	65431	66502	57965	56792	59301	55636	62615	65344	69799	52622	51999	87584	82824	49982	55483	54188	51954	52902	60975	75481	81096	63609	63486	58938	74493	67688	77405	78949	73297	44740	52985	56725	53749	57570
ReadPairs_NoGene_TenKbFromGene	132123	120761	80500	83254	80259	169566	129105	124445	168981	156115	72198	61718	75513	87039	66562	72687	74358	74585	63503	81232	144363	153287	166023	163115	156008	142983	165185	187256	150412	172402	114544	113134	97787	94813	86170	101145	104387	113816	109118	94859	72416	73732	89820	82365	77697	201886	180870	233881	205995	197751	176632	186975	198354	170603	171284	89136	96583	97924	80553	82957	162435	151279	163889	174912	191564	119110	115550	193542	185948	115577	136394	138425	122295	126342	146342	187379	205020	161258	160808	148939	211414	184431	214359	216842	208641	84512	97389	105203	98190	103424
ReadPairs_NoGene_MiddleOfNowhere	364727	337970	228313	235945	234345	248715	178575	184110	242122	232965	557894	482507	650237	613404	482303	566989	468866	471123	434819	500576	224183	245203	239633	225904	223864	233592	297162	211057	157325	188128	359868	331960	312517	259182	252212	225673	217225	206265	331116	199571	321344	235760	314034	464150	213776	118848	104259	143192	124412	120788	99729	111513	118192	95288	103662	357327	397608	478064	307528	342921	120462	119091	126370	142624	200820	102884	99117	173597	177436	100116	112952	141407	109926	116461	133163	157011	178660	145291	143050	133822	138054	116703	131438	146269	156743	368239	291012	326791	312746	326868
Genes_Total	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105	32105
Genes_WithZeroCounts	14959	14819	15718	15635	15705	12860	13502	13408	12948	13139	17770	18074	17968	17870	18256	17007	17167	17183	17002	16588	13273	13086	12887	12827	13002	12795	12439	12193	12600	12279	13926	14064	14190	14373	14777	14891	14859	14860	14831	15212	15889	16002	15530	15773	15885	10363	10492	10091	10334	10396	10621	10399	10360	10608	10637	14332	13851	14168	14231	14195	11730	11817	11573	11557	11449	12512	12567	11326	11543	12576	12262	12665	12137	12089	11885	11705	11585	12087	12066	12159	10743	10843	10587	10593	10870	15174	14913	14603	14639	14803
Genes_WithNonzeroCounts	17146	17286	16387	16470	16400	19245	18603	18697	19157	18966	14335	14031	14137	14235	13849	15098	14938	14922	15103	15517	18832	19019	19218	19278	19103	19310	19666	19912	19505	19826	18179	18041	17915	17732	17328	17214	17246	17245	17274	16893	16216	16103	16575	16332	16220	21742	21613	22014	21771	21709	21484	21706	21745	21497	21468	17773	18254	17937	17874	17910	20375	20288	20532	20548	20656	19593	19538	20779	20562	19529	19843	19440	19968	20016	20220	20400	20520	20018	20039	19946	21362	21262	21518	21512	21235	16931	17192	17502	17466	17302
InsertSizeCalc_Kept	5745411	5717789	3939891	3911014	3860258	4500131	3322403	3339362	4436011	4214464	4944165	4140956	4718884	4979564	3837860	4250070	4191284	4283233	4020573	5025708	3517188	4103772	4043422	4294916	4013770	3540093	4012222	4208907	3445241	3943951	4295856	4221510	4077825	3590563	3334084	3718322	3624230	3881855	3967128	3248890	4353753	3670365	5037277	4505447	3946676	3232416	2921492	3785236	3310413	3255886	2863472	2927845	3128385	2731360	2731233	3929857	4437450	4279214	3842905	4054682	3058690	2960132	3304459	3495865	4004683	2908609	2866991	4778716	4662829	2809785	3024323	3333640	2942019	2987321	3483195	3652758	4189407	3317343	3320578	3105498	3323983	3018862	3440560	3480548	3431468	3769624	4008386	4469816	4104771	4012408
InsertSizeCalc_lt_readLen	60229	47121	13798	12021	14352	19393	10831	9816	15976	15271	21958	13419	18991	40097	35256	17886	16269	16744	14757	25311	14769	15629	15909	15778	11869	10991	18536	15329	11204	13543	26259	25840	15547	12431	13637	12320	8773	11473	15741	11782	14113	12019	22998	21971	14010	9037	8147	13059	11003	11363	8007	9502	9712	7093	8208	11840	15410	14311	12546	18024	10584	8444	10386	12122	15252	9909	10584	23974	24791	9275	10127	10261	8942	8235	10347	12905	16330	11736	11102	12068	10855	9690	9621	10282	10023	12961	14449	14913	12902	13527
InsertSizeCalc_eq_readLen	33670	26268	7838	6900	8169	10698	6248	5689	9033	8517	12181	7512	10427	22047	18811	9819	9187	9413	8164	13943	7926	8584	8832	8956	6818	6149	10219	8690	6223	7705	14464	14652	8541	6994	7481	7045	5051	6409	8777	6640	7960	6685	13117	12577	8218	5208	4596	7476	6191	6528	4520	5493	5491	3904	4762	6642	8659	7935	7024	10088	6151	5001	5795	7017	8592	5666	6073	13695	14246	5342	5658	6010	5038	4850	5794	7371	9179	6592	6175	6871	6235	5458	5437	5928	5782	7246	8139	8451	7322	7716
InsertSizeCalc_readLen_to_2xreadLen	4628130	4481765	2466250	2321259	2372081	3039651	1872605	1932117	2669656	2510465	3488694	2646871	3247063	3926481	3021800	2689774	2683539	2799791	2481589	3563885	2082952	2488581	2365930	2613282	2332021	2061478	2528993	2470573	1969702	2247966	3098189	3078606	2479643	2129620	1980801	2205766	2053851	2364918	2472768	1872326	2627438	2139116	3377009	3124124	2404195	1798355	1646149	2200313	1939749	1878391	1567892	1685710	1795497	1502819	1563551	2293095	2704101	2659247	2315516	2602455	1767193	1700263	1888076	2041162	2513096	1623762	1651868	3373077	3265006	1603013	1755283	1993529	1677545	1697921	2032816	2347323	2562329	1969920	1920795	1827704	1928583	1694421	1916973	2001663	1988288	2294993	2450753	2633002	2393081	2362103
InsertSizeCalc_ge_2xreadLen	1023382	1162635	1452005	1570834	1465656	1430389	1432719	1391740	1741346	1680211	1421332	1473154	1442403	990939	761993	1532591	1482289	1457285	1516063	1422569	1411541	1590978	1652751	1656900	1663062	1461475	1454474	1714315	1458112	1674737	1156944	1102412	1574094	1441518	1332165	1493191	1556555	1499055	1469842	1358142	1704242	1512545	1624153	1346775	1520253	1419816	1262600	1564388	1353470	1359604	1283053	1227140	1317685	1217544	1154712	1618280	1709280	1597721	1507819	1424115	1274762	1246424	1400202	1435564	1467743	1269272	1198466	1367970	1358786	1192155	1253255	1323840	1250494	1276315	1434238	1285159	1601569	1329095	1382506	1258855	1378310	1309293	1508529	1462675	1427375	1454424	1535045	1813450	1691466	1629062
InsertSizeCalc_Dropped	7767	8221	5820	6105	6064	12055	10439	9272	11515	10859	7724	6530	7105	7296	5478	7304	6740	7451	6903	8247	10269	12291	12994	12899	12585	12132	11685	13951	12656	13226	8745	9481	11109	8250	8376	12990	11630	10757	14505	10881	6702	5988	7545	6480	6024	16943	15770	18542	15628	15698	17284	16503	16229	16927	15263	6557	7367	6678	6642	7438	16217	15154	17655	17022	18959	12616	12757	17055	17407	12093	14615	15633	14338	15987	17434	14728	16973	14619	14294	13661	15218	14395	15042	14948	14821	10884	11727	13932	13214	12484
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	71	73	59	76	64	79	82	75	80	128	58	69	62	68	68	63	93	63	89	103	85	85	97	67	78	86	67	122	104	101	64	65	91	65	51	53	95	183	99	68	75	64	83	62	66	75	68	80	104	95	85	83	84	88	79	108	66	95	60	74	67	64	63	85	100	68	64	86	98	55	58	89	97	62	88	96	94	76	86	62	81	66	86	82	83	111	105	67	104	104
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	7392	7835	5555	5742	5716	11680	10016	8882	11087	10400	7397	6202	6759	6982	5189	6974	6374	7105	6536	7828	9860	11861	12469	12484	12162	11754	11289	13445	12177	12757	8403	9149	10705	7871	8046	12657	11237	10082	14112	10517	6347	5599	7158	6123	5671	16471	15379	18054	15118	15260	16845	16065	15750	16493	14886	6110	6997	6274	6290	7042	15834	14814	17247	16584	18491	12210	12411	16609	16981	11717	14288	15242	13936	15642	17010	14304	16497	14220	13868	13312	14736	13999	14543	14473	14368	10504	11296	13561	12764	12035
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	304	313	206	287	284	296	341	315	348	331	269	259	284	246	221	267	273	283	278	316	324	345	428	348	345	292	329	384	375	368	278	267	313	314	279	280	298	492	294	296	280	325	304	295	287	397	323	408	406	343	354	355	395	346	298	339	304	309	292	322	316	276	345	353	368	338	282	360	328	321	269	302	305	283	336	328	382	323	340	287	401	330	413	393	370	269	326	304	346	345
AggregateGenes	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992	30992
AggregateGenes_NoReads	14048	13920	14771	14710	14778	12020	12645	12551	12114	12299	16755	17057	16952	16855	17228	16021	16180	16201	16014	15620	12405	12215	12034	11983	12140	11947	11613	11351	11777	11459	13057	13198	13318	13498	13877	14011	13965	13973	13949	14306	14941	15062	14594	14827	14945	9598	9725	9349	9573	9635	9842	9639	9598	9838	9865	13439	12966	13274	13346	13309	10924	10995	10776	10767	10637	11667	11726	10551	10756	11743	11440	11826	11324	11268	11080	10904	10788	11272	11244	11329	9944	10051	9809	9813	10053	14273	14023	13707	13758	13914
