sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph126_F	ZMP_phenotype_126_F	ERS1079207	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites-5
zmp_ph116_A	ZMP_phenotype_116_A	ERS1079143	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5-1
zmp_ph116_B	ZMP_phenotype_116_B	ERS1079144	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5-2
zmp_ph116_C	ZMP_phenotype_116_C	ERS1079145	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5-3
zmp_ph116_D	ZMP_phenotype_116_D	ERS1079146	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5-4
zmp_ph116_F	ZMP_phenotype_116_F	ERS1079147	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5-5
zmp_ph117_A	ZMP_phenotype_117_A	ERS1079148	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15-1
zmp_ph117_C	ZMP_phenotype_117_C	ERS1079149	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15-2
zmp_ph117_D	ZMP_phenotype_117_D	ERS1079150	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15-3
zmp_ph117_E	ZMP_phenotype_117_E	ERS1079151	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15-4
zmp_ph117_F	ZMP_phenotype_117_F	ERS1079152	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15-5
zmp_ph118_B	ZMP_phenotype_118_B	ERS1079153	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25-1
zmp_ph118_C	ZMP_phenotype_118_C	ERS1079154	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25-2
zmp_ph118_D	ZMP_phenotype_118_D	ERS1079155	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25-3
zmp_ph118_E	ZMP_phenotype_118_E	ERS1079157	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25-4
zmp_ph118_F	ZMP_phenotype_118_F	ERS1079158	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25-5
zmp_ph119_A	ZMP_phenotype_119_A	ERS1079159	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec-1
zmp_ph119_B	ZMP_phenotype_119_B	ERS1079160	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec-2
zmp_ph119_C	ZMP_phenotype_119_C	ERS1079162	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec-3
zmp_ph119_D	ZMP_phenotype_119_D	ERS1079163	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec-4
zmp_ph119_E	ZMP_phenotype_119_E	ERS1079164	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec-5
zmp_ph120_A	ZMP_phenotype_120_A	ERS1079165	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth-1
zmp_ph120_B	ZMP_phenotype_120_B	ERS1079166	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth-2
zmp_ph120_C	ZMP_phenotype_120_C	ERS1079168	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth-3
zmp_ph120_D	ZMP_phenotype_120_D	ERS1079169	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth-4
zmp_ph120_E	ZMP_phenotype_120_E	ERS1079170	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth-5
zmp_ph121_A	ZMP_phenotype_121_A	ERS1079171	ZFS:0000036	Larval:Day-4	Day-4	Day-4-1
zmp_ph121_B	ZMP_phenotype_121_B	ERS1079172	ZFS:0000036	Larval:Day-4	Day-4	Day-4-2
zmp_ph121_C	ZMP_phenotype_121_C	ERS1079174	ZFS:0000036	Larval:Day-4	Day-4	Day-4-3
zmp_ph121_D	ZMP_phenotype_121_D	ERS1079175	ZFS:0000036	Larval:Day-4	Day-4	Day-4-4
zmp_ph121_E	ZMP_phenotype_121_E	ERS1079176	ZFS:0000036	Larval:Day-4	Day-4	Day-4-5
zmp_ph122_A	ZMP_phenotype_122_A	ERS1079178	ZFS:0000037	Larval:Day-5	Day-5	Day-5-1
zmp_ph122_B	ZMP_phenotype_122_B	ERS1079179	ZFS:0000037	Larval:Day-5	Day-5	Day-5-2
zmp_ph122_C	ZMP_phenotype_122_C	ERS1079180	ZFS:0000037	Larval:Day-5	Day-5	Day-5-3
zmp_ph122_D	ZMP_phenotype_122_D	ERS1079181	ZFS:0000037	Larval:Day-5	Day-5	Day-5-4
zmp_ph122_F	ZMP_phenotype_122_F	ERS1079183	ZFS:0000037	Larval:Day-5	Day-5	Day-5-5
