Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Associated Gene Name	Description	Pfam ID	Ensembl Protein Family ID(s)	Ensembl Family Description
ENSDARG00000102455	4	54128644	54274733	-1	znf1133	zinc finger protein 1133 [Source:ZFIN;Acc:ZDB-GENE-110913-178]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000102455	4	54128644	54274733	-1	znf1133	zinc finger protein 1133 [Source:ZFIN;Acc:ZDB-GENE-110913-178]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000089814	4	32779344	33001761	1	znf1042	zinc finger protein 1042 [Source:ZFIN;Acc:ZDB-GENE-120703-14]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000089814	4	32779344	33001761	1	znf1042	zinc finger protein 1042 [Source:ZFIN;Acc:ZDB-GENE-120703-14]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000089814	4	32779344	33001761	1	znf1042	zinc finger protein 1042 [Source:ZFIN;Acc:ZDB-GENE-120703-14]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000024306	4	27123111	27140409	-1	zbed4	zinc finger, BED-type containing 4 [Source:ZFIN;Acc:ZDB-GENE-041210-305]	PF02892	PTHR23272_SF6	ZINC FINGER BED DOMAIN CONTAINING 4
ENSDARG00000101463	4	35883131	36006571	-1	si:dkey-176f19.1	si:dkey-176f19.1 [Source:ZFIN;Acc:ZDB-GENE-110914-124]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000045691	4	13926429	13932659	-1	zcrb1	zinc finger CCHC-type and RNA binding motif 1 [Source:ZFIN;Acc:ZDB-GENE-041210-114]	PF00098	PTHR23139_SF52	ZINC FINGER CCHC TYPE AND RNA BINDING MOTIF CONTAINING 1 U11/U12 SMALL NUCLEAR RIBONUCLEOPROTEIN 31 KDA U11/U12 SNRNP 31 KDA
ENSDARG00000090116	4	40411457	40418191	1	znf1136	zinc finger protein 1136 [Source:ZFIN;Acc:ZDB-GENE-120709-10]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000090116	4	40411457	40418191	1	znf1136	zinc finger protein 1136 [Source:ZFIN;Acc:ZDB-GENE-120709-10]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103439	4	58378104	58385085	1	si:dkey-248e17.5	si:dkey-248e17.5 [Source:ZFIN;Acc:ZDB-GENE-131120-19]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000006011	4	17645335	17653192	-1	klhl42	kelch-like family, member 42 [Source:ZFIN;Acc:ZDB-GENE-041210-190]	PF00651	PTHR24412_SF54	KELCH  42 CULLIN 3 BINDING 9 CTB9 KELCH DOMAIN CONTAINING 5
ENSDARG00000098892	4	62629808	62641336	1	si:ch211-223a21.1	si:ch211-223a21.1 [Source:ZFIN;Acc:ZDB-GENE-110913-137]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000098892	4	62629808	62641336	1	si:ch211-223a21.1	si:ch211-223a21.1 [Source:ZFIN;Acc:ZDB-GENE-110913-137]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000098892	4	62629808	62641336	1	si:ch211-223a21.1	si:ch211-223a21.1 [Source:ZFIN;Acc:ZDB-GENE-110913-137]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000096026	4	57489608	57495604	1	si:dkey-4e4.1	si:dkey-4e4.1 [Source:ZFIN;Acc:ZDB-GENE-110914-73]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000096026	4	57489608	57495604	1	si:dkey-4e4.1	si:dkey-4e4.1 [Source:ZFIN;Acc:ZDB-GENE-110914-73]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000096026	4	57489608	57495604	1	si:dkey-4e4.1	si:dkey-4e4.1 [Source:ZFIN;Acc:ZDB-GENE-110914-73]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103597	4	55354656	55360368	1	si:dkey-40j3.3	si:dkey-40j3.3 [Source:ZFIN;Acc:ZDB-GENE-110913-109]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103597	4	55354656	55360368	1	si:dkey-40j3.3	si:dkey-40j3.3 [Source:ZFIN;Acc:ZDB-GENE-110913-109]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000103527	4	60835782	60842768	1	si:dkeyp-35e5.9	si:dkeyp-35e5.9 [Source:ZFIN;Acc:ZDB-GENE-110913-107]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000103527	4	60835782	60842768	1	si:dkeyp-35e5.9	si:dkeyp-35e5.9 [Source:ZFIN;Acc:ZDB-GENE-110913-107]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000100512	4	54145610	54153623	-1	znf986	zinc finger protein 986 [Source:ZFIN;Acc:ZDB-GENE-110913-135]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000104349	4	54263111	54275279	-1	znf972	zinc finger protein 972 [Source:ZFIN;Acc:ZDB-GENE-110914-39]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104349	4	54263111	54275279	-1	znf972	zinc finger protein 972 [Source:ZFIN;Acc:ZDB-GENE-110914-39]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000098958	4	37234855	37365663	-1	znf1100	zinc finger protein 1100 [Source:ZFIN;Acc:ZDB-GENE-120215-2]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000098958	4	37234855	37365663	-1	znf1100	zinc finger protein 1100 [Source:ZFIN;Acc:ZDB-GENE-120215-2]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104038	4	35860064	35871025	1	znf1023	zinc finger protein 1023 [Source:ZFIN;Acc:ZDB-GENE-080218-24]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104038	4	35860064	35871025	1	znf1023	zinc finger protein 1023 [Source:ZFIN;Acc:ZDB-GENE-080218-24]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000104038	4	35860064	35871025	1	znf1023	zinc finger protein 1023 [Source:ZFIN;Acc:ZDB-GENE-080218-24]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000102735	4	49306725	49428852	-1	znf1141	zinc finger protein 1141 [Source:ZFIN;Acc:ZDB-GENE-110913-35]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000102735	4	49306725	49428852	-1	znf1141	zinc finger protein 1141 [Source:ZFIN;Acc:ZDB-GENE-110913-35]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000102735	4	49306725	49428852	-1	znf1141	zinc finger protein 1141 [Source:ZFIN;Acc:ZDB-GENE-110913-35]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000086041	4	40337624	40406453	-1	zgc:174650	zgc:174650 [Source:ZFIN;Acc:ZDB-GENE-080219-10]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000086041	4	40337624	40406453	-1	zgc:174650	zgc:174650 [Source:ZFIN;Acc:ZDB-GENE-080219-10]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101524	4	58189793	58438080	-1	znf1080	zinc finger protein 1080 [Source:ZFIN;Acc:ZDB-GENE-131125-96]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101524	4	58189793	58438080	-1	znf1080	zinc finger protein 1080 [Source:ZFIN;Acc:ZDB-GENE-131125-96]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101524	4	58189793	58438080	-1	znf1080	zinc finger protein 1080 [Source:ZFIN;Acc:ZDB-GENE-131125-96]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101524	4	58189793	58438080	-1	znf1080	zinc finger protein 1080 [Source:ZFIN;Acc:ZDB-GENE-131125-96]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000095198	4	56942127	56957453	-1	znf1132	zinc finger protein 1132 [Source:ZFIN;Acc:ZDB-GENE-110914-67]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000095198	4	56942127	56957453	-1	znf1132	zinc finger protein 1132 [Source:ZFIN;Acc:ZDB-GENE-110914-67]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000095198	4	56942127	56957453	-1	znf1132	zinc finger protein 1132 [Source:ZFIN;Acc:ZDB-GENE-110914-67]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000102936	4	58421604	58438119	-1	znf1121	zinc finger protein 1121 [Source:ZFIN;Acc:ZDB-GENE-110914-9]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000102936	4	58421604	58438119	-1	znf1121	zinc finger protein 1121 [Source:ZFIN;Acc:ZDB-GENE-110914-9]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000099346	4	60988501	60994245	1	znf1079	zinc finger protein 1079 [Source:ZFIN;Acc:ZDB-GENE-110913-68]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099346	4	60988501	60994245	1	znf1079	zinc finger protein 1079 [Source:ZFIN;Acc:ZDB-GENE-110913-68]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099346	4	60988501	60994245	1	znf1079	zinc finger protein 1079 [Source:ZFIN;Acc:ZDB-GENE-110913-68]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099346	4	60988501	60994245	1	znf1079	zinc finger protein 1079 [Source:ZFIN;Acc:ZDB-GENE-110913-68]	PF13465	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000103721	4	55313874	55350393	-1	si:dkey-122c11.7	si:dkey-122c11.7 [Source:ZFIN;Acc:ZDB-GENE-110913-120]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000103721	4	55313874	55350393	-1	si:dkey-122c11.7	si:dkey-122c11.7 [Source:ZFIN;Acc:ZDB-GENE-110913-120]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000098311	4	207365	213434	1	si: zfos-932h1.3	si: zfos-932h1.3 [Source:ZFIN;Acc:ZDB-GENE-141222-4]	PF13912	PTHR24377_SF211	ZINC FINGER 32 ZINC FINGER
ENSDARG00000098311	4	207365	213434	1	si: zfos-932h1.3	si: zfos-932h1.3 [Source:ZFIN;Acc:ZDB-GENE-141222-4]	PF13894	PTHR24377_SF211	ZINC FINGER 32 ZINC FINGER
ENSDARG00000098987	4	37770545	37771981	1	znf1071	zinc finger protein 1071 [Source:ZFIN;Acc:ZDB-GENE-110914-46]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000098987	4	37770545	37771981	1	znf1071	zinc finger protein 1071 [Source:ZFIN;Acc:ZDB-GENE-110914-46]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000098987	4	37770545	37771981	1	znf1071	zinc finger protein 1071 [Source:ZFIN;Acc:ZDB-GENE-110914-46]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000102268	4	61082561	61092919	1	si:ch211-79g12.1	si:ch211-79g12.1 [Source:ZFIN;Acc:ZDB-GENE-110914-69]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000102268	4	61082561	61092919	1	si:ch211-79g12.1	si:ch211-79g12.1 [Source:ZFIN;Acc:ZDB-GENE-110914-69]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103441	4	41536956	41549373	1	znf1060	zinc finger protein 1060 [Source:ZFIN;Acc:ZDB-GENE-141211-13]	PF13894	PTHR24409_SF21	ZINC FINGER
ENSDARG00000103441	4	41536956	41549373	1	znf1060	zinc finger protein 1060 [Source:ZFIN;Acc:ZDB-GENE-141211-13]	PF13912	PTHR24409_SF21	ZINC FINGER
ENSDARG00000103441	4	41536956	41549373	1	znf1060	zinc finger protein 1060 [Source:ZFIN;Acc:ZDB-GENE-141211-13]	PF00096	PTHR24409_SF21	ZINC FINGER
ENSDARG00000104124	4	55284714	55290221	-1	znf1069	zinc finger protein 1069 [Source:ZFIN;Acc:ZDB-GENE-071004-89]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000104124	4	55284714	55290221	-1	znf1069	zinc finger protein 1069 [Source:ZFIN;Acc:ZDB-GENE-071004-89]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099697	4	41523879	41533091	-1	zgc:174696	zgc:174696 [Source:ZFIN;Acc:ZDB-GENE-030131-2836]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099697	4	41523879	41533091	-1	zgc:174696	zgc:174696 [Source:ZFIN;Acc:ZDB-GENE-030131-2836]	PF12874	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099697	4	41523879	41533091	-1	zgc:174696	zgc:174696 [Source:ZFIN;Acc:ZDB-GENE-030131-2836]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000099697	4	41523879	41533091	-1	zgc:174696	zgc:174696 [Source:ZFIN;Acc:ZDB-GENE-030131-2836]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101327	4	67885034	67891228	-1	znf1076	zinc finger protein 1076 [Source:ZFIN;Acc:ZDB-GENE-110913-64]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101327	4	67885034	67891228	-1	znf1076	zinc finger protein 1076 [Source:ZFIN;Acc:ZDB-GENE-110913-64]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101327	4	67885034	67891228	-1	znf1076	zinc finger protein 1076 [Source:ZFIN;Acc:ZDB-GENE-110913-64]	PF13465	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000104006	4	59792599	59797711	1	znf1082	zinc finger protein 1082 [Source:ZFIN;Acc:ZDB-GENE-110913-158]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000104006	4	59792599	59797711	1	znf1082	zinc finger protein 1082 [Source:ZFIN;Acc:ZDB-GENE-110913-158]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000098796	4	45818007	45994340	1	znf1122	zinc finger protein 1122 [Source:ZFIN;Acc:ZDB-GENE-141211-60]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000098796	4	45818007	45994340	1	znf1122	zinc finger protein 1122 [Source:ZFIN;Acc:ZDB-GENE-141211-60]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000098796	4	45818007	45994340	1	znf1122	zinc finger protein 1122 [Source:ZFIN;Acc:ZDB-GENE-141211-60]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000098582	4	45987326	46105351	1	znf1040	zinc finger protein 1040 [Source:ZFIN;Acc:ZDB-GENE-141210-11]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000098582	4	45987326	46105351	1	znf1040	zinc finger protein 1040 [Source:ZFIN;Acc:ZDB-GENE-141210-11]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000098582	4	45987326	46105351	1	znf1040	zinc finger protein 1040 [Source:ZFIN;Acc:ZDB-GENE-141210-11]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000095332	4	5354339	5363069	-1	si:dkey-14d8.1	si:dkey-14d8.1 [Source:ZFIN;Acc:ZDB-GENE-041210-86]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000095332	4	5354339	5363069	-1	si:dkey-14d8.1	si:dkey-14d8.1 [Source:ZFIN;Acc:ZDB-GENE-041210-86]	PF12874	PTHR24384	ZINC FINGER
ENSDARG00000095332	4	5354339	5363069	-1	si:dkey-14d8.1	si:dkey-14d8.1 [Source:ZFIN;Acc:ZDB-GENE-041210-86]	PF00096	PTHR24409_SF18	ZINC FINGER 845
ENSDARG00000088616	4	47771778	47905012	-1	si:ch211-197e7.3	si:ch211-197e7.3 [Source:ZFIN;Acc:ZDB-GENE-131122-50]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000088616	4	47771778	47905012	-1	si:ch211-197e7.3	si:ch211-197e7.3 [Source:ZFIN;Acc:ZDB-GENE-131122-50]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000103405	4	37161731	37168614	1	znf1102	zinc finger protein 1102 [Source:ZFIN;Acc:ZDB-GENE-071004-71]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000103405	4	37161731	37168614	1	znf1102	zinc finger protein 1102 [Source:ZFIN;Acc:ZDB-GENE-071004-71]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000103405	4	37161731	37168614	1	znf1102	zinc finger protein 1102 [Source:ZFIN;Acc:ZDB-GENE-071004-71]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000088000	4	47841075	47905558	-1	znf1057	zinc finger protein 1057 [Source:ZFIN;Acc:ZDB-GENE-131120-158]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000088000	4	47841075	47905558	-1	znf1057	zinc finger protein 1057 [Source:ZFIN;Acc:ZDB-GENE-131120-158]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000088000	4	47841075	47905558	-1	znf1057	zinc finger protein 1057 [Source:ZFIN;Acc:ZDB-GENE-131120-158]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000088000	4	47841075	47905558	-1	znf1057	zinc finger protein 1057 [Source:ZFIN;Acc:ZDB-GENE-131120-158]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000104892	4	63623526	63629909	1	znf1108	zinc finger protein 1108 [Source:ZFIN;Acc:ZDB-GENE-110914-14]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104892	4	63623526	63629909	1	znf1108	zinc finger protein 1108 [Source:ZFIN;Acc:ZDB-GENE-110914-14]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000104892	4	63623526	63629909	1	znf1108	zinc finger protein 1108 [Source:ZFIN;Acc:ZDB-GENE-110914-14]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000103189	4	35767455	35779717	1	znf1088	zinc finger protein 1088 [Source:ZFIN;Acc:ZDB-GENE-110914-17]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000076255	4	57135167	57336533	1	znf1084	zinc finger protein 1084 [Source:ZFIN;Acc:ZDB-GENE-110913-77]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000076255	4	57135167	57336533	1	znf1084	zinc finger protein 1084 [Source:ZFIN;Acc:ZDB-GENE-110913-77]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000076255	4	57135167	57336533	1	znf1084	zinc finger protein 1084 [Source:ZFIN;Acc:ZDB-GENE-110913-77]	PF00096	PTHR24384	ZINC FINGER
